;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Ávila;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cáceres;Cádiz;Cantabria;Castellón/Castelló;Ciudad Real;Córdoba;Coruña, A;Cuenca;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ceuta;Melilla;
        Albacete;0.0;679.695928;83.795299;18.193084;29.936623;8.740418;32.054577;228.580297;258.024561;32.723355;13.552329;15.444429;36.775411;16.517085;86.986166;191.364828;46.619415;35.821283;283.776163;16.366793;42.532811;70.852237;41.753802;65.601069;12.582026;59.148879;19.405407;36.339198;3.882954;724.837029;79.450439;719.161;23.236476;8.748554;5.80747;51.470089;23.133835;24.978956;11.656992;49.312973;8.628665;75.462766;1.900708;33.718193;15.50992;133.085174;721.781753;14.544924;3.831312;56.963719;0.98236;12.636671;
        Alicante/Alacant;464.760533;0.0;382.495009;118.779071;225.002129;50.330539;106.050803;761.651082;1467.108505;229.051692;105.949628;84.561176;193.608921;127.953108;221.190028;177.978723;135.190728;167.995944;94.892504;152.026543;203.709637;366.976355;101.120956;70.079069;64.810079;163.174992;104.275988;101.895747;29.129899;3275.888726;480.470625;2671.972882;174.536983;46.603421;36.837817;270.541841;88.507458;91.941027;63.087373;245.474668;40.872331;274.51628;22.344648;182.185279;44.532827;237.059266;2769.417845;143.430061;27.31226;216.467803;30.026363;60.71624;
        Almería;68.98771;402.172982;0.0;39.309231;62.779208;12.393428;35.755589;237.460065;750.025502;65.236877;29.873063;15.531746;170.972359;36.779736;45.894247;55.055359;99.972326;36.761394;18.333163;54.693884;116.197038;1292.661698;30.686661;116.033205;45.873044;184.324949;20.294166;120.213045;13.550139;968.689378;627.992277;931.549628;65.202108;19.334075;5.873386;108.279502;29.998591;26.998321;16.510369;102.144895;21.333754;224.130995;7.672987;100.435796;12.521076;73.294773;308.128836;20.189287;4.876522;80.445577;16.513718;122.265647;
        Araba/Álava;15.540668;86.185027;31.749612;0.0;38.985957;6.795485;10.726997;60.690938;247.563775;749.503044;229.080497;21.369236;24.122997;78.826557;16.380515;12.484683;20.469123;51.546755;4.799862;357.379011;11.598562;21.356718;4.864504;7.74095;16.424977;10.592736;38.782256;30.613717;11.705791;405.965954;71.486185;44.082648;160.99221;20.489693;26.357799;39.816537;33.985653;238.653978;16.514922;19.334654;7.758714;44.47488;0.0;13.470961;3.915809;43.349718;75.138623;63.17618;16.641378;55.668941;0.0;4.82676;
        Asturias;16.431691;248.872753;59.992428;60.21042;0.0;28.239431;26.316851;296.707192;556.023024;187.500799;96.380775;51.684766;96.268143;341.885891;52.200515;30.933418;26.072764;331.438593;21.394612;84.301332;59.036726;59.09446;43.770501;30.095738;20.463865;28.974485;552.453132;26.089595;331.749274;1924.720944;176.007983;101.392724;120.404591;66.516287;46.76044;244.69723;183.044575;51.546045;94.597102;205.42513;30.217975;99.447364;14.424274;75.834592;16.49949;103.817669;202.203584;149.231492;59.219051;110.705267;13.649258;12.613983;
        Ávila;12.420943;72.675523;18.277755;12.531511;38.707901;0.0;8.798901;32.055291;68.765676;29.136053;28.882009;60.41319;19.428938;30.236034;11.622205;18.393299;11.655383;19.436699;14.387226;24.181938;9.621783;21.41353;23.334708;12.455697;5.862612;8.680307;35.819554;12.416711;11.633361;1937.721813;47.450863;24.16807;16.482575;2.933245;22.36066;19.313456;11.708516;10.682588;145.823655;29.306403;68.937567;13.706648;16.417971;9.697499;7.605041;158.26852;55.31654;136.793727;16.420252;19.252941;2.909008;0.980221;
        Badajoz;25.112207;167.175406;50.538464;23.228521;25.339365;14.640366;0.0;331.36532;486.838155;90.664067;27.917859;640.130115;168.02378;31.926843;40.633947;86.37274;186.176001;31.049492;22.008535;70.938375;72.861383;72.698386;50.649923;169.72087;16.585573;35.761558;31.18914;37.685698;12.579161;1596.704645;235.093513;81.478603;52.438494;8.718777;6.721901;139.178499;42.5273;32.863345;70.149986;113.074679;18.400382;628.158186;8.740865;58.26009;3.884406;183.791441;127.01859;52.16436;11.678234;97.100714;20.444783;11.709051;
        Balears, Illes;115.645894;637.310937;196.289798;30.873283;259.999056;15.602329;169.433083;0.0;2591.956612;148.920793;55.542733;87.504614;354.092933;91.690423;161.339919;111.081081;223.088094;223.8056;38.020721;108.937415;267.957183;578.421713;52.565632;82.708885;69.067254;190.661444;101.491702;109.08027;35.844356;2163.92635;505.342757;340.716622;109.683259;50.425995;20.424908;414.178101;210.339034;41.451691;74.917525;341.305415;25.216261;491.574104;14.524406;204.62458;30.148152;89.317198;1065.633423;88.725234;35.926601;172.754032;22.291903;49.55685;
        Barcelona;154.209358;1149.095459;849.914659;221.293203;332.672368;55.321554;406.345036;2567.842225;0.0;539.75137;152.168597;212.410296;638.15857;241.234133;686.557722;218.551383;454.906745;461.420683;145.715304;403.8263;5703.960886;783.705719;121.949447;232.148986;472.017362;312.97581;290.374127;2015.79684;296.257745;4367.813743;1200.339577;812.194623;441.445968;253.161068;70.956099;646.847383;317.85105;191.406101;153.356448;639.874667;43.428485;808.68585;80.586971;5646.030512;240.126111;219.492632;1553.524009;170.610086;99.299539;849.379221;95.053989;155.613503;
        Bizkaia;14.59735;194.920061;70.934492;823.108324;150.718229;18.396454;51.673704;190.298323;561.805618;0.0;434.956067;72.08245;89.479968;1148.228186;52.200502;28.95074;24.442347;155.863403;2.869671;903.920019;34.853812;39.693012;14.489328;20.446458;29.934332;24.223519;113.032185;28.882213;77.784177;1243.56698;157.020056;90.725881;276.655115;70.13384;100.331721;141.662652;75.089121;289.869604;65.265756;107.862043;17.532609;72.670845;12.606484;55.063431;6.794648;37.878416;185.047952;81.618935;65.280471;113.529424;5.793434;5.849342;
        Burgos;5.825031;149.131826;37.35022;497.118885;75.844301;21.317071;33.310512;77.457996;222.770165;522.734944;0.0;21.458518;29.147312;220.761611;23.342305;30.109867;30.161982;36.925877;12.430495;90.042437;14.443958;21.401762;27.085377;22.168192;12.58465;7.80576;104.117314;32.497122;13.441849;979.669205;72.681076;67.894335;89.95721;27.844324;117.730766;58.372275;45.838104;175.220843;56.46497;40.652959;61.825543;38.029539;100.218034;30.778431;1.940031;29.024049;86.071218;242.406829;20.503646;101.558963;4.829916;4.835533;
