Source;Target;Type;id;label;timeset;weight
1;2;Directed;0;;;680.0
1;3;Directed;1;;;84.0
1;4;Directed;2;;;18.0
1;5;Directed;3;;;30.0
1;6;Directed;4;;;9.0
1;7;Directed;5;;;32.0
1;8;Directed;6;;;229.0
1;9;Directed;7;;;258.0
1;10;Directed;8;;;33.0
1;11;Directed;9;;;14.0
1;12;Directed;10;;;15.0
1;13;Directed;11;;;37.0
1;14;Directed;12;;;17.0
1;15;Directed;13;;;87.0
1;16;Directed;14;;;191.0
1;17;Directed;15;;;47.0
1;18;Directed;16;;;36.0
1;19;Directed;17;;;284.0
1;20;Directed;18;;;16.0
1;21;Directed;19;;;43.0
1;22;Directed;20;;;71.0
1;23;Directed;21;;;42.0
1;24;Directed;22;;;66.0
1;25;Directed;23;;;13.0
1;26;Directed;24;;;59.0
1;27;Directed;25;;;19.0
1;28;Directed;26;;;36.0
1;29;Directed;27;;;4.0
1;30;Directed;28;;;725.0
1;31;Directed;29;;;79.0
1;32;Directed;30;;;719.0
1;33;Directed;31;;;23.0
1;34;Directed;32;;;9.0
1;35;Directed;33;;;6.0
1;36;Directed;34;;;51.0
1;37;Directed;35;;;23.0
1;38;Directed;36;;;25.0
1;39;Directed;37;;;12.0
1;40;Directed;38;;;49.0
1;41;Directed;39;;;9.0
1;42;Directed;40;;;75.0
1;43;Directed;41;;;2.0
1;44;Directed;42;;;34.0
1;45;Directed;43;;;16.0
1;46;Directed;44;;;133.0
1;47;Directed;45;;;722.0
1;48;Directed;46;;;15.0
1;49;Directed;47;;;4.0
1;50;Directed;48;;;57.0
1;51;Directed;49;;;1.0
1;52;Directed;50;;;13.0
2;1;Directed;51;;;465.0
2;3;Directed;52;;;382.0
2;4;Directed;53;;;119.0
2;5;Directed;54;;;225.0
2;6;Directed;55;;;50.0
2;7;Directed;56;;;106.0
2;8;Directed;57;;;762.0
2;9;Directed;58;;;1467.0
2;10;Directed;59;;;229.0
2;11;Directed;60;;;106.0
2;12;Directed;61;;;85.0
2;13;Directed;62;;;194.0
2;14;Directed;63;;;128.0
2;15;Directed;64;;;221.0
2;16;Directed;65;;;178.0
2;17;Directed;66;;;135.0
2;18;Directed;67;;;168.0
2;19;Directed;68;;;95.0
2;20;Directed;69;;;152.0
2;21;Directed;70;;;204.0
2;22;Directed;71;;;367.0
2;23;Directed;72;;;101.0
2;24;Directed;73;;;70.0
2;25;Directed;74;;;65.0
2;26;Directed;75;;;163.0
2;27;Directed;76;;;104.0
2;28;Directed;77;;;102.0
2;29;Directed;78;;;29.0
2;30;Directed;79;;;3276.0
2;31;Directed;80;;;480.0
2;32;Directed;81;;;2672.0
2;33;Directed;82;;;175.0
2;34;Directed;83;;;47.0
2;35;Directed;84;;;37.0
2;36;Directed;85;;;271.0
2;37;Directed;86;;;89.0
2;38;Directed;87;;;92.0
2;39;Directed;88;;;63.0
2;40;Directed;89;;;245.0
2;41;Directed;90;;;41.0
2;42;Directed;91;;;275.0
2;43;Directed;92;;;22.0
2;44;Directed;93;;;182.0
2;45;Directed;94;;;45.0
2;46;Directed;95;;;237.0
2;47;Directed;96;;;2769.0
2;48;Directed;97;;;143.0
2;49;Directed;98;;;27.0
2;50;Directed;99;;;216.0
2;51;Directed;100;;;30.0
2;52;Directed;101;;;61.0
3;1;Directed;102;;;69.0
3;2;Directed;103;;;402.0
3;4;Directed;104;;;39.0
3;5;Directed;105;;;63.0
3;6;Directed;106;;;12.0
3;7;Directed;107;;;36.0
3;8;Directed;108;;;237.0
3;9;Directed;109;;;750.0
3;10;Directed;110;;;65.0
3;11;Directed;111;;;30.0
3;12;Directed;112;;;16.0
3;13;Directed;113;;;171.0
3;14;Directed;114;;;37.0
3;15;Directed;115;;;46.0
3;16;Directed;116;;;55.0
3;17;Directed;117;;;100.0
3;18;Directed;118;;;37.0
3;19;Directed;119;;;18.0
3;20;Directed;120;;;55.0
3;21;Directed;121;;;116.0
3;22;Directed;122;;;1293.0
3;23;Directed;123;;;31.0
3;24;Directed;124;;;116.0
3;25;Directed;125;;;46.0
3;26;Directed;126;;;184.0
3;27;Directed;127;;;20.0
3;28;Directed;128;;;120.0
3;29;Directed;129;;;14.0
3;30;Directed;130;;;969.0
3;31;Directed;131;;;628.0
3;32;Directed;132;;;932.0
3;33;Directed;133;;;65.0
3;34;Directed;134;;;19.0
3;35;Directed;135;;;6.0
3;36;Directed;136;;;108.0
3;37;Directed;137;;;30.0
3;38;Directed;138;;;27.0
3;39;Directed;139;;;17.0
3;40;Directed;140;;;102.0
3;41;Directed;141;;;21.0
3;42;Directed;142;;;224.0
3;43;Directed;143;;;8.0
3;44;Directed;144;;;100.0
3;45;Directed;145;;;13.0
3;46;Directed;146;;;73.0
3;47;Directed;147;;;308.0
3;48;Directed;148;;;20.0
3;49;Directed;149;;;5.0
3;50;Directed;150;;;80.0
3;51;Directed;151;;;17.0
3;52;Directed;152;;;122.0
4;1;Directed;153;;;16.0
4;2;Directed;154;;;86.0
4;3;Directed;155;;;32.0
4;5;Directed;156;;;39.0
4;6;Directed;157;;;7.0
4;7;Directed;158;;;11.0
4;8;Directed;159;;;61.0
4;9;Directed;160;;;248.0
4;10;Directed;161;;;750.0
4;11;Directed;162;;;229.0
4;12;Directed;163;;;21.0
4;13;Directed;164;;;24.0
4;14;Directed;165;;;79.0
4;15;Directed;166;;;16.0
4;16;Directed;167;;;12.0
4;17;Directed;168;;;20.0
4;18;Directed;169;;;52.0
4;19;Directed;170;;;5.0
4;20;Directed;171;;;357.0
4;21;Directed;172;;;12.0
4;22;Directed;173;;;21.0
4;23;Directed;174;;;5.0
4;24;Directed;175;;;8.0
4;25;Directed;176;;;16.0
4;26;Directed;177;;;11.0
4;27;Directed;178;;;39.0
4;28;Directed;179;;;31.0
4;29;Directed;180;;;12.0
4;30;Directed;181;;;406.0
4;31;Directed;182;;;71.0
4;32;Directed;183;;;44.0
4;33;Directed;184;;;161.0
4;34;Directed;185;;;20.0
4;35;Directed;186;;;26.0
4;36;Directed;187;;;40.0
4;37;Directed;188;;;34.0
4;38;Directed;189;;;239.0
4;39;Directed;190;;;17.0
4;40;Directed;191;;;19.0
4;41;Directed;192;;;8.0
4;42;Directed;193;;;44.0
4;44;Directed;194;;;13.0
4;45;Directed;195;;;4.0
4;46;Directed;196;;;43.0
4;47;Directed;197;;;75.0
4;48;Directed;198;;;63.0
4;49;Directed;199;;;17.0
4;50;Directed;200;;;56.0
4;52;Directed;201;;;5.0
5;1;Directed;202;;;16.0
5;2;Directed;203;;;249.0
5;3;Directed;204;;;60.0
5;4;Directed;205;;;60.0
5;6;Directed;206;;;28.0
5;7;Directed;207;;;26.0
5;8;Directed;208;;;297.0
5;9;Directed;209;;;556.0
5;10;Directed;210;;;188.0
5;11;Directed;211;;;96.0
5;12;Directed;212;;;52.0
5;13;Directed;213;;;96.0
5;14;Directed;214;;;342.0
5;15;Directed;215;;;52.0
5;16;Directed;216;;;31.0
5;17;Directed;217;;;26.0
5;18;Directed;218;;;331.0
5;19;Directed;219;;;21.0
5;20;Directed;220;;;84.0
5;21;Directed;221;;;59.0
5;22;Directed;222;;;59.0
5;23;Directed;223;;;44.0
5;24;Directed;224;;;30.0
5;25;Directed;225;;;20.0
5;26;Directed;226;;;29.0
5;27;Directed;227;;;552.0
5;28;Directed;228;;;26.0
5;29;Directed;229;;;332.0
5;30;Directed;230;;;1925.0
5;31;Directed;231;;;176.0
5;32;Directed;232;;;101.0
5;33;Directed;233;;;120.0
5;34;Directed;234;;;67.0
5;35;Directed;235;;;47.0
5;36;Directed;236;;;245.0
5;37;Directed;237;;;183.0
5;38;Directed;238;;;52.0
5;39;Directed;239;;;95.0
5;40;Directed;240;;;205.0
5;41;Directed;241;;;30.0
5;42;Directed;242;;;99.0
5;43;Directed;243;;;14.0
5;44;Directed;244;;;76.0
5;45;Directed;245;;;16.0
5;46;Directed;246;;;104.0
5;47;Directed;247;;;202.0
5;48;Directed;248;;;149.0
5;49;Directed;249;;;59.0
5;50;Directed;250;;;111.0
5;51;Directed;251;;;14.0
5;52;Directed;252;;;13.0
6;1;Directed;253;;;12.0
6;2;Directed;254;;;73.0
6;3;Directed;255;;;18.0
6;4;Directed;256;;;13.0
6;5;Directed;257;;;39.0
6;7;Directed;258;;;9.0
6;8;Directed;259;;;32.0
6;9;Directed;260;;;69.0
6;10;Directed;261;;;29.0
6;11;Directed;262;;;29.0
6;12;Directed;263;;;60.0
6;13;Directed;264;;;19.0
6;14;Directed;265;;;30.0
6;15;Directed;266;;;12.0
6;16;Directed;267;;;18.0
6;17;Directed;268;;;12.0
6;18;Directed;269;;;19.0
6;19;Directed;270;;;14.0
6;20;Directed;271;;;24.0
